Team1,Team2
Auburn,Alabama St
Louisville,Creighton
Michigan,UCSD
Texas A&M,Yale
Mississippi,North Carolina
Iowa St,Lipscomb
Marquette,New Mexico
Michigan St,Bryant
Duke,American
Mississippi St,Baylor
Oregon,Liberty
Arizona,Akron
BYU,VCU
Wisconsin,Montana
Saint Mary's,Vanderbilt
Alabama,Robert Morris
Florida,Norfolk St
UConn,Oklahoma
Memphis,Colorado St
Maryland,Grand Canyon
Missouri,Drake
Texas Tech,NC Wilmington
Kansas,Arkansas
St John's,Omaha
Gonzaga,Georgia
Clemson,McNeese
Purdue,High Point
Illinois,Xavier
Illinois,Texas
Kentucky,Troy
UCLA,Utah St
Tennessee,Wofford
